iter	Passed	Remaining
459	740	869
460	742	867
461	746	869
462	748	868
463	750	867
464	752	865
465	753	863
466	754	861
467	756	859
468	757	857
469	759	856
470	761	854
471	762	853
472	765	852
473	766	850
474	767	848
475	768	846
476	770	844
477	771	842
478	772	840
479	774	839
480	776	837
481	778	836
482	779	834
483	780	832
484	781	830
485	783	828
486	784	826
487	785	823
488	786	821
489	787	819
490	788	817
491	789	815
492	791	813
493	792	812
494	793	810
495	795	808
496	796	806
497	797	803
498	798	801
499	799	799
500	800	797
501	801	795
502	803	793
503	804	791
504	805	790
505	807	788
506	808	786
507	809	784
508	810	781
509	811	779
510	812	777
511	814	775
512	815	773
513	816	771
514	817	769
515	818	767
516	820	766
517	821	764
518	822	762
519	823	760
520	824	758
521	825	756
522	826	754
523	827	752
524	829	750
525	830	747
526	831	745
527	832	743
528	835	743
529	837	742
530	838	740
531	839	738
532	840	736
533	841	734
534	843	732
535	844	730
536	845	728
537	846	727
538	848	725
539	849	723
540	850	721
541	852	720
542	853	718
543	854	716
544	855	714
545	857	712
546	858	710
547	859	708
548	860	707
549	861	705
550	863	703
551	864	701
552	865	699
553	866	697
554	868	695
555	869	694
556	870	692
557	871	690
558	872	688
559	873	686
560	874	684
561	875	682
562	877	681
563	879	679
564	880	677
565	881	676
566	882	674
567	884	672
568	885	670
569	886	668
570	887	666
571	888	664
572	889	663
573	890	661
574	892	659
575	894	658
576	895	656
577	896	654
578	899	653
579	900	651
580	901	650
581	903	648
582	904	646
583	908	647
584	910	645
585	912	644
586	913	643
587	915	641
588	916	639
589	917	637
590	919	636
591	920	634
592	923	633
593	924	632
594	926	630
595	927	628
596	929	627
597	930	625
598	931	623
599	932	621
600	933	619
601	934	617
602	935	615
603	937	614
604	938	612
605	939	610
606	940	609
607	941	607
608	942	605
609	943	603
610	945	601
611	946	600
612	948	598
613	949	596
614	950	594
615	952	593
616	953	592
617	954	590
618	955	588
619	956	586
620	958	584
621	959	583
622	960	581
623	961	579
624	963	577
625	964	576
626	965	574
627	967	572
628	968	571
629	969	569
630	970	567
631	971	565
632	972	563
633	973	561
634	974	560
635	975	558
636	976	556
637	977	554
638	978	553
639	979	551
640	981	549
641	982	547
642	983	546
643	984	544
644	985	542
645	986	540
646	987	538
647	988	537
648	989	535
649	991	533
650	992	532
651	993	530
652	994	528
653	996	527
654	997	525
655	998	523
656	999	521
657	1000	520
658	1001	518
659	1002	516
660	1003	514
661	1004	513
662	1006	511
663	1007	509
664	1008	508
665	1009	506
666	1010	504
667	1012	503
668	1013	501
669	1014	499
670	1015	497
671	1016	496
672	1017	494
673	1018	492
674	1019	490
675	1020	489
676	1021	487
677	1022	485
678	1023	484
679	1024	482
680	1026	480
681	1027	479
682	1028	477
683	1029	475
684	1030	474
685	1031	472
686	1032	470
687	1033	468
688	1034	467
689	1035	465
690	1036	463
691	1037	461
692	1038	460
693	1039	458
694	1041	456
695	1042	455
696	1043	453
697	1044	451
698	1045	450
699	1046	448
700	1047	446
701	1048	445
702	1049	443
703	1050	441
704	1051	440
705	1053	438
706	1054	436
707	1055	435
708	1056	433
709	1058	432
710	1059	430
711	1060	428
712	1061	427
713	1062	425
714	1063	423
715	1064	422
716	1065	420
717	1066	418
718	1067	417
719	1068	415
720	1069	413
721	1070	412
722	1072	410
723	1073	409
724	1074	407
725	1075	405
726	1076	404
727	1077	402
728	1078	400
729	1079	399
730	1080	397
731	1081	395
732	1081	394
733	1082	392
734	1083	390
735	1084	389
736	1086	387
737	1087	386
738	1088	384
739	1089	382
740	1090	381
741	1091	379
742	1092	377
743	1093	376
744	1094	374
745	1095	373
746	1096	371
747	1097	369
748	1098	368
749	1099	366
750	1101	365
751	1103	363
752	1104	362
753	1105	360
754	1106	359
755	1107	357
756	1108	355
757	1109	354
758	1110	352
759	1111	351
760	1112	349
761	1113	347
762	1114	346
763	1116	344
764	1117	343
765	1118	341
766	1119	340
767	1120	338
768	1121	336
769	1122	335
770	1123	333
771	1124	331
772	1125	330
773	1126	328
774	1126	327
775	1127	325
776	1129	324
777	1130	322
778	1131	321
779	1132	319
780	1133	317
781	1134	316
782	1135	314
783	1136	313
784	1137	311
785	1138	310
786	1139	308
787	1140	306
788	1141	305
789	1143	303
790	1144	302
791	1146	300
792	1147	299
793	1148	297
794	1149	296
795	1150	294
796	1151	293
797	1152	291
798	1153	290
799	1154	288
800	1154	286
801	1155	285
802	1156	283
803	1158	282
804	1158	280
805	1160	279
806	1161	277
807	1162	276
808	1163	274
809	1164	273
810	1165	271
811	1166	270
812	1167	268
813	1168	267
814	1169	265
815	1170	263
816	1171	262
817	1172	260
818	1173	259
819	1174	257
820	1176	256
821	1177	254
822	1178	253
823	1179	251
824	1180	250
825	1181	248
826	1182	247
827	1183	245
828	1184	244
829	1185	242
830	1186	241
831	1187	239
832	1188	238
833	1189	236
834	1190	235
835	1191	233
836	1192	232
837	1193	230
838	1194	229
839	1195	227
840	1196	226
841	1197	224
842	1198	223
843	1199	221
844	1201	220
845	1202	218
846	1203	217
847	1204	215
848	1205	214
849	1206	212
850	1207	211
851	1208	209
852	1210	208
853	1211	207
854	1211	205
855	1212	204
856	1213	202
857	1215	201
858	1216	199
859	1217	198
860	1218	196
861	1219	195
862	1220	193
863	1222	192
864	1223	190
865	1224	189
866	1225	187
867	1226	186
868	1227	184
869	1228	183
870	1229	182
871	1230	180
872	1231	179
873	1232	177
874	1233	176
875	1234	174
876	1235	173
877	1236	171
878	1237	170
879	1238	168
880	1239	167
881	1240	165
882	1241	164
883	1242	163
884	1243	161
885	1245	160
886	1246	158
887	1247	157
888	1248	155
889	1249	154
890	1250	152
891	1251	151
892	1252	150
893	1253	148
894	1254	147
895	1255	145
896	1256	144
897	1257	142
898	1259	141
899	1260	140
900	1261	138
901	1262	137
902	1263	135
903	1264	134
904	1265	132
905	1266	131
906	1267	129
907	1268	128
908	1269	127
909	1270	125
910	1271	124
911	1272	122
912	1273	121
913	1274	119
914	1275	118
915	1276	117
916	1278	115
917	1279	114
918	1280	112
919	1281	111
920	1282	110
921	1283	108
922	1284	107
923	1285	105
924	1286	104
925	1288	102
926	1289	101
927	1290	100
928	1291	98
929	1292	97
930	1293	95
931	1295	94
932	1296	93
933	1297	91
934	1298	90
935	1299	88
936	1300	87
937	1301	86
938	1302	84
939	1303	83
940	1305	81
941	1306	80
942	1307	79
943	1308	77
944	1309	76
945	1310	74
946	1311	73
947	1312	71
948	1313	70
949	1314	69
950	1315	67
951	1317	66
952	1318	65
953	1319	63
954	1320	62
955	1321	60
956	1322	59
957	1323	58
958	1324	56
959	1326	55
960	1327	53
961	1328	52
962	1329	51
963	1330	49
964	1331	48
965	1332	46
966	1333	45
967	1334	44
968	1335	42
969	1337	41
970	1338	39
971	1339	38
972	1340	37
973	1341	35
974	1342	34
975	1343	33
976	1344	31
977	1346	30
978	1347	28
979	1348	27
980	1349	26
981	1350	24
982	1351	23
983	1352	21
984	1353	20
985	1354	19
986	1355	17
987	1356	16
988	1357	15
989	1358	13
990	1359	12
991	1360	10
992	1361	9
993	1362	8
994	1363	6
995	1364	5
996	1365	4
997	1367	2
998	1368	1
999	1370	0
